sim_id,record_id,base_record_id,earthquake_name,magnitude,r_rup_km,vs30_ms,target_pga_g,resulting_pga_g,struct_id,T,zeta,material_type,u_y,alpha,u_max_m,f_max_n,e_h_final_j,ductility,dt,n_steps,sim_file_path
RSN0001_PGA_0p200g__SDOF_T0p20s_Z0p05_BILIN_uy0p005_a0p02,RSN0001_PGA_0p200g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.2,0.2,SDOF_T0p20s_Z0p05_BILIN_uy0p005_a0p02,0.2,0.05,bilinear,0.005,0.02,0.004627700806373941,4.567357624551302,2.4392746806945133e-11,0.9255401612747882,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p200g__SDOF_T0p20s_Z0p05_BILIN_uy0p005_a0p02.npz
RSN0001_PGA_0p200g__SDOF_T0p50s_Z0p05_BILIN_uy0p010_a0p02,RSN0001_PGA_0p200g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.2,0.2,SDOF_T0p50s_Z0p05_BILIN_uy0p010_a0p02,0.5,0.05,bilinear,0.01,0.02,0.021400306673391403,1.6151419895878885,0.06194963207693709,2.1400306673391403,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p200g__SDOF_T0p50s_Z0p05_BILIN_uy0p010_a0p02.npz
RSN0001_PGA_0p200g__SDOF_T0p50s_Z0p05_BILIN_uy0p020_a0p05,RSN0001_PGA_0p200g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.2,0.2,SDOF_T0p50s_Z0p05_BILIN_uy0p020_a0p05,0.5,0.05,bilinear,0.02,0.05,0.019924815963645603,3.146400821211073,7.88254327616364e-09,0.9962407981822802,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p200g__SDOF_T0p50s_Z0p05_BILIN_uy0p020_a0p05.npz
RSN0001_PGA_0p200g__SDOF_T1p00s_Z0p05_BILIN_uy0p020_a0p02,RSN0001_PGA_0p200g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.2,0.2,SDOF_T1p00s_Z0p05_BILIN_uy0p020_a0p02,1.0,0.05,bilinear,0.02,0.02,0.04959173093408166,0.8129330463161778,0.12682148717176078,2.4795865467040827,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p200g__SDOF_T1p00s_Z0p05_BILIN_uy0p020_a0p02.npz
RSN0001_PGA_0p200g__SDOF_T1p00s_Z0p05_BILIN_uy0p040_a0p05,RSN0001_PGA_0p200g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.2,0.2,SDOF_T1p00s_Z0p05_BILIN_uy0p040_a0p05,1.0,0.05,bilinear,0.04,0.05,0.05987325969395051,1.6183649464421785,0.07867636901062233,1.496831492348763,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p200g__SDOF_T1p00s_Z0p05_BILIN_uy0p040_a0p05.npz
RSN0001_PGA_0p200g__SDOF_T1p50s_Z0p05_BILIN_uy0p030_a0p02,RSN0001_PGA_0p200g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.2,0.2,SDOF_T1p50s_Z0p05_BILIN_uy0p030_a0p02,1.5,0.05,bilinear,0.03,0.02,0.09485607564540033,0.549138147955956,0.10714708305393753,3.161869188180011,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p200g__SDOF_T1p50s_Z0p05_BILIN_uy0p030_a0p02.npz
RSN0001_PGA_0p200g__SDOF_T2p00s_Z0p05_BILIN_uy0p050_a0p02,RSN0001_PGA_0p200g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.2,0.2,SDOF_T2p00s_Z0p05_BILIN_uy0p050_a0p02,2.0,0.05,bilinear,0.05,0.02,0.07826834282385599,0.4990601672693845,0.027797248284639794,1.5653668564771197,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p200g__SDOF_T2p00s_Z0p05_BILIN_uy0p050_a0p02.npz
RSN0001_PGA_0p300g__SDOF_T0p20s_Z0p05_ELAS,RSN0001_PGA_0p300g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.3,0.3,SDOF_T0p20s_Z0p05_ELAS,0.2,0.05,elastic,,0.0,0.006941551209560913,6.851036436826954,5.488367046907597e-11,1.0,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p300g__SDOF_T0p20s_Z0p05_ELAS.npz
RSN0001_PGA_0p300g__SDOF_T0p50s_Z0p05_ELAS,RSN0001_PGA_0p300g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.3,0.3,SDOF_T0p50s_Z0p05_ELAS,0.5,0.05,elastic,,0.0,0.029887223945468305,4.719601231816596,1.7735722265220182e-08,1.0,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p300g__SDOF_T0p50s_Z0p05_ELAS.npz
RSN0001_PGA_0p300g__SDOF_T1p00s_Z0p05_ELAS,RSN0001_PGA_0p300g,RSN0001,Imperial Valley-06,6.669848365268068,2.65303503121774,227.75891064146455,0.3,0.3,SDOF_T1p00s_Z0p05_ELAS,1.0,0.05,elastic,,0.0,0.11522848156261625,4.549038115044965,8.938705463095931e-06,1.0,0.01,3337,/Users/rahul/seismoFNO/data/simulations/sdof_responses/RSN0001_PGA_0p300g__SDOF_T1p00s_Z0p05_ELAS.npz
