Regime,Model,N,Rel_L2_u_Mean,Rel_L2_u_Median,Rel_L2_u_Std,Rel_L2_u_95CI_Low,Rel_L2_u_95CI_High,Peak_u_Err_Mean,Force_Rel_L2_Mean,Energy_Rel_L2_Mean,Residual_Drift_mm_Mean,Loop_Area_Err_Mean,Latency_ms,Parameters
mu_2_to_4,Memory-Truncated S4,252,534.1318954939698,378.38971741051273,434.59017482047165,512.4420297048192,558.5365470175997,163.5086640743359,130.35842495351562,239.64984353368155,44.87242664964426,119.04053139999414,40.67679576888244,1192079
mu_gt_4,Standard FNO,830,65.93435006773046,59.034264171420496,31.751465102885582,61.565784992060514,70.66164891592007,16.74214831640887,38.609991530126024,10.213472207896633,72.22347259872133,9.732296191924071,7.278739362271909,1196931
mu_gt_4,Causal TCN (State-Free),830,101.3385207421202,93.32443208012921,32.48852462873566,97.18142227377034,105.23356896953781,67.28601334289468,55.56126302204364,24.120016211910087,85.62887777821217,99.0568171279711,37.22087378962708,1188763
mu_gt_4,State-Augmented TCN,830,103.27034082914598,71.8621716866709,156.30126500273988,96.44099280334014,113.53446876902409,69.03373677643445,38.654971022676484,23.921841575001608,99.83950460621391,96.13503438915266,44.87929704739688,1182451
mu_gt_4,Continuous S4 SSM,830,102.5141986038886,99.15368166708586,21.672214071897844,101.79961833897866,103.31634093336899,64.78418650037688,95.51918944392601,38.659366754776066,81.43261142877346,98.4635286638463,40.80841233177574,1192079
mu_gt_4,Memory-Truncated S4,830,165.10988297883674,127.02177311810865,111.72161663768088,153.7864321797461,172.8294288313789,64.13235417006906,120.09445604207608,57.62759084412815,89.8193681200248,103.07767756561744,40.67679576888244,1192079
all,Standard FNO,1540,281.2607773695094,79.12942182496849,778.8657405218627,264.68372717276657,304.60867875693134,63.11644342427731,31.7856026677663,16.415242532604402,46.53836083628673,549.3212604631416,7.278739362271909,1196931
all,Causal TCN (State-Free),1540,317.7227690313945,110.95549496539871,739.840654339247,302.07635596376286,340.3252371788762,683.060257940697,54.4066803892902,55.43913457198275,55.77470090545641,12492.392482191975,37.22087378962708,1188763
all,State-Augmented TCN,1540,140.63118215799463,78.31259811197765,231.1912786001271,134.16603868119395,144.69196188405914,494.1252060923455,33.07820353968051,32.71139429950501,58.29966925655329,12119.744135129253,44.87929704739688,1182451
all,Continuous S4 SSM,1540,234.84760356580207,103.58589253917165,446.947052329158,226.86166923831607,247.3206468147494,506.58433127766534,99.36565273204694,85.83496322016838,50.54002537803313,8185.772359693202,40.80841233177574,1192079
all,Memory-Truncated S4,1540,1378.1735413529861,231.9480108833864,4048.362283795861,1298.2968273374074,1498.9706608903396,450.4606647252477,149.1622425389286,533.2938887893339,68.81919603918787,4010.074037994321,40.67679576888244,1192079
